SERIAL,DATE CREATED,URL,TITLE,DOMAIN,TOPIC,TUTORIAL,TITLE,U.S.,TITLE ID
64,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-topic/cc-early-math-add-subtract-1000/e/add-within-1000--level-2,Add within 1000: Level 2,Math,Addition and subtraction,Addition and subtraction within 1000,add-within-1000--level-2,Early math,add-within-1000--level-2
65,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-add-sub-topic/cc-early-math-add-subtract-1000/e/subtract-within-1000--level-2,Subtract within 1000: Level 2,Math,Addition and subtraction,Addition and subtraction within 1000,subtract-within-1000--level-2,Early math,subtract-within-1000--level-2
66,11/19/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/measuring-lengths-with-different-units,Measuring lengths with different units,Math,Measurement and data,Measurement,measuring-lengths-with-different-units,Early math,measuring-lengths-with-different-units
67,11/13/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/which-has-more-,Comparing size,Math,Measurement and data,Measurement,which-has-more-,Early math,which-has-more-
68,11/24/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/order-by-length,Order by length,Math,Measurement and data,Measurement,order-by-length,Early math,order-by-length
69,11/7/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/measuring-lengths-1,Measuring lengths 1,Math,Measurement and data,Measurement,measuring-lengths-1,Early math,measuring-lengths-1
70,11/25/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/measuring-lengths-2,Measuring lengths 2,Math,Measurement and data,Measurement,measuring-lengths-2,Early math,measuring-lengths-2
71,12/1/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/estimating-lengths,Estimating lengths,Math,Measurement and data,Measurement,estimating-lengths,Early math,estimating-lengths
72,11/19/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/comparing-lengths,Comparing lengths,Math,Measurement and data,Measurement,comparing-lengths,Early math,comparing-lengths
73,11/20/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-measurement/e/length-word-problems,Length word problems,Math,Measurement and data,Measurement,length-word-problems,Early math,length-word-problems
74,12/13/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/sort-groups-by-count,Sort by count or category,Math,Measurement and data,Data,sort-groups-by-count,Early math,sort-groups-by-count
75,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/solving-problems-with-picture-graphs-1,Solving problems with picture graphs 1,Math,Measurement and data,Data,solving-problems-with-picture-graphs-1,Early math,solving-problems-with-picture-graphs-1
76,11/19/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/solving-problems-with-bar-graphs-2,Solving problems with bar graphs 2,Math,Measurement and data,Data,solving-problems-with-bar-graphs-2,Early math,solving-problems-with-bar-graphs-2
77,1/5/2015,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/solving-problems-with-line-plots-1,Solving problems with line plots 1,Math,Measurement and data,Data,solving-problems-with-line-plots-1,Early math,solving-problems-with-line-plots-1
78,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/creating-line-plots-1,"Making line plots, bar graphs, and picture graphs",Math,Measurement and data,Data,creating-line-plots-1,Early math,creating-line-plots-1
79,11/19/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-data/e/solving-problems-with-bar-graphs-1,Solving problems with bar graphs 1,Math,Measurement and data,Data,solving-problems-with-bar-graphs-1,Early math,solving-problems-with-bar-graphs-1
80,11/10/2014,https://www.khanacademy.org/math/arithmetic/telling-time-topic/telling-time/e/telling_time_0.5,Telling time with a labeled clock,Math,Measurement and data,Time and money,telling_time_0.5,Early math,telling_time_0.5
81,11/10/2014,https://www.khanacademy.org/math/arithmetic/telling-time-topic/telling-time/e/telling_time,Telling time without labels,Math,Measurement and data,Time and money,telling_time,Early math,telling_time
82,11/10/2014,https://www.khanacademy.org/math/early-math/cc-early-math-measure-data-topic/cc-early-math-time-money-topic/e/counting-money--us-,Counting money (U.S.),Math,Measurement and data,Time and money,counting-money--us-,Early math,counting-money--us-
